customer_id,tenure,monthly_charges,total_charges,contract,internet_service,payment_method,senior_citizen,partner,dependents,tech_support,online_security,paperless_billing,churn
CUST-00051,55,96.42,5309.86,Two year,Fiber optic,Electronic check,0,Yes,Yes,No,No,No,No
CUST-00052,15,87.09,1254.95,Month-to-month,Fiber optic,Bank transfer,0,Yes,Yes,No,No,No,Yes
CUST-00053,27,47.22,1185.14,Month-to-month,Fiber optic,Bank transfer,0,No,Yes,No,No,No,Yes
CUST-00054,34,113.29,3823.08,Two year,Fiber optic,Mailed check,0,Yes,Yes,No,No,Yes,No
CUST-00055,36,83.41,3097.57,Month-to-month,DSL,Mailed check,0,Yes,No,Yes,No,Yes,No
CUST-00056,4,60.35,185.55,Month-to-month,DSL,Electronic check,1,Yes,Yes,No,No,Yes,Yes
CUST-00057,40,53.29,2148.49,One year,Fiber optic,Electronic check,0,Yes,Yes,No,No,No,No
CUST-00058,12,76.42,833.01,Month-to-month,Fiber optic,Mailed check,0,Yes,No,No,No,No,Yes
CUST-00059,54,28.22,1666.49,Two year,Fiber optic,Credit card,0,Yes,No,No,Yes,Yes,Yes
CUST-00060,50,87.49,4236.83,One year,Fiber optic,Mailed check,0,No,No,No,Yes,Yes,No
CUST-00061,67,46.16,2994.7,Month-to-month,No,Electronic check,0,No,Yes,No,Yes,Yes,No
CUST-00062,54,79.27,4214.34,One year,No,Bank transfer,0,No,No,No,No,Yes,No
CUST-00063,27,56.96,1401.8,Two year,Fiber optic,Electronic check,0,Yes,No,Yes,No,Yes,No
CUST-00064,70,63.39,4489.89,Month-to-month,DSL,Mailed check,0,Yes,No,Yes,No,Yes,No
CUST-00065,30,51.08,1600.46,One year,DSL,Bank transfer,0,Yes,Yes,No,No,No,No
CUST-00066,24,65.97,1647.84,Month-to-month,Fiber optic,Electronic check,1,No,No,No,No,Yes,No
CUST-00067,66,117.23,7806.3,Month-to-month,Fiber optic,Credit card,0,Yes,No,No,Yes,Yes,No
CUST-00068,27,104.63,2676.16,One year,DSL,Bank transfer,0,No,Yes,No,No,Yes,No
CUST-00069,6,78.86,498.91,Month-to-month,DSL,Credit card,0,No,No,Yes,No,Yes,Yes
CUST-00070,34,69.37,2496.27,Month-to-month,No,Bank transfer,0,Yes,Yes,No,No,No,No
CUST-00071,58,91.11,5250.09,Month-to-month,DSL,Credit card,0,Yes,Yes,Yes,Yes,Yes,Yes
CUST-00072,14,98.25,1483.25,One year,Fiber optic,Bank transfer,0,No,No,Yes,Yes,Yes,No
CUST-00073,34,49.25,1658.78,One year,No,Electronic check,0,No,No,Yes,Yes,No,No
CUST-00074,10,68.06,668.21,Month-to-month,Fiber optic,Electronic check,0,No,No,No,Yes,Yes,No
CUST-00075,50,24.45,1101.72,Month-to-month,DSL,Electronic check,0,Yes,No,No,No,No,No
CUST-00076,35,98.08,3385.01,Two year,Fiber optic,Electronic check,0,Yes,Yes,No,No,Yes,No
CUST-00077,24,121.63,3047.37,Month-to-month,Fiber optic,Credit card,0,No,Yes,No,No,Yes,Yes
CUST-00078,17,72.0,1160.29,Month-to-month,DSL,Credit card,0,Yes,Yes,No,No,Yes,Yes
CUST-00079,41,20.0,1009.56,Month-to-month,Fiber optic,Bank transfer,0,No,No,Yes,No,No,Yes
CUST-00080,49,85.22,4159.5,One year,DSL,Electronic check,0,Yes,Yes,No,No,Yes,No
CUST-00081,68,47.4,3357.96,Month-to-month,Fiber optic,Credit card,0,Yes,No,No,Yes,Yes,No
CUST-00082,32,53.42,1710.36,Two year,No,Mailed check,0,Yes,No,No,No,No,No
CUST-00083,12,85.66,796.61,One year,Fiber optic,Credit card,0,No,No,Yes,No,No,No
CUST-00084,60,76.36,4509.19,Month-to-month,No,Bank transfer,1,Yes,No,Yes,No,No,No
CUST-00085,46,57.8,2586.47,One year,Fiber optic,Mailed check,1,Yes,No,No,No,Yes,No
CUST-00086,51,53.76,2672.78,Month-to-month,No,Credit card,0,Yes,No,Yes,No,Yes,Yes
CUST-00087,8,73.15,459.64,Month-to-month,Fiber optic,Bank transfer,0,No,No,No,No,Yes,Yes
CUST-00088,23,59.76,1275.85,One year,DSL,Credit card,1,No,No,Yes,No,Yes,No
CUST-00089,56,42.27,2428.05,Month-to-month,No,Bank transfer,0,No,No,No,Yes,No,No
CUST-00090,60,61.69,3963.86,Two year,No,Mailed check,0,No,Yes,Yes,No,Yes,No
CUST-00091,32,78.49,2532.1,One year,Fiber optic,Electronic check,0,Yes,No,Yes,Yes,Yes,No
CUST-00092,58,65.55,3766.81,Month-to-month,Fiber optic,Credit card,0,No,No,No,Yes,Yes,No
CUST-00093,61,34.66,1867.23,Two year,DSL,Credit card,0,Yes,Yes,Yes,Yes,No,No
CUST-00094,28,94.73,2850.3,Month-to-month,DSL,Electronic check,0,No,No,No,No,Yes,Yes
CUST-00095,65,20.0,1406.55,Month-to-month,DSL,Bank transfer,0,Yes,No,No,No,No,No
CUST-00096,21,58.84,1189.98,Month-to-month,Fiber optic,Credit card,0,No,No,No,No,No,No
CUST-00097,18,54.5,1011.95,Two year,DSL,Bank transfer,0,No,No,Yes,No,Yes,No
CUST-00098,50,73.7,3638.01,Month-to-month,DSL,Mailed check,0,Yes,Yes,Yes,No,Yes,Yes
CUST-00099,46,84.04,3748.27,Month-to-month,No,Electronic check,0,Yes,No,No,No,No,No
CUST-00100,11,98.17,1040.16,Month-to-month,Fiber optic,Credit card,1,Yes,No,Yes,No,Yes,Yes
CUST-00101,60,52.19,3217.22,Month-to-month,Fiber optic,Mailed check,1,Yes,No,No,No,No,No
CUST-00102,15,84.66,1306.47,Month-to-month,DSL,Credit card,0,No,No,No,Yes,Yes,Yes
CUST-00103,58,74.9,4322.19,One year,DSL,Mailed check,0,No,Yes,Yes,No,No,No
CUST-00104,1,27.21,92.38,Two year,Fiber optic,Credit card,0,Yes,No,No,No,No,No
CUST-00105,58,117.51,6783.55,One year,DSL,Electronic check,0,Yes,No,No,No,Yes,No
CUST-00106,57,34.03,2064.1,Month-to-month,Fiber optic,Bank transfer,0,No,No,No,No,Yes,No
CUST-00107,57,80.49,4482.86,Month-to-month,No,Bank transfer,0,Yes,No,Yes,Yes,No,No
CUST-00108,48,79.75,3791.96,Month-to-month,DSL,Electronic check,0,No,Yes,No,No,No,No
CUST-00109,34,76.89,2693.69,Month-to-month,Fiber optic,Bank transfer,0,Yes,Yes,No,No,Yes,Yes
CUST-00110,51,57.64,3011.33,One year,Fiber optic,Mailed check,1,No,No,No,Yes,Yes,No
CUST-00111,20,90.68,1746.22,Month-to-month,DSL,Bank transfer,0,No,No,No,No,No,Yes
CUST-00112,57,30.99,1679.02,Two year,Fiber optic,Electronic check,0,Yes,No,No,Yes,Yes,No
CUST-00113,41,68.35,2853.79,Month-to-month,Fiber optic,Electronic check,0,No,No,No,No,Yes,No
CUST-00114,34,55.9,2044.03,One year,DSL,Bank transfer,0,Yes,No,Yes,No,Yes,No
CUST-00115,37,53.07,2053.67,Two year,Fiber optic,Credit card,1,Yes,No,Yes,Yes,No,No
CUST-00116,41,80.72,3191.25,One year,Fiber optic,Electronic check,0,No,Yes,Yes,No,No,Yes
CUST-00117,3,96.94,223.5,Two year,Fiber optic,Electronic check,0,No,Yes,Yes,No,Yes,Yes
CUST-00118,11,61.42,567.0,Two year,No,Mailed check,0,No,No,Yes,No,Yes,Yes
CUST-00119,18,89.52,1752.96,One year,Fiber optic,Electronic check,0,No,No,Yes,No,Yes,No
CUST-00120,9,71.24,635.06,Month-to-month,Fiber optic,Electronic check,0,Yes,No,Yes,No,No,No
CUST-00121,32,47.68,1495.14,Month-to-month,No,Bank transfer,0,No,No,No,Yes,Yes,Yes
CUST-00122,49,63.55,3141.42,Two year,Fiber optic,Credit card,0,Yes,No,No,No,Yes,No
CUST-00123,48,62.51,3047.92,Month-to-month,DSL,Bank transfer,0,Yes,No,No,No,No,No
CUST-00124,34,52.58,1748.52,Two year,DSL,Mailed check,1,Yes,No,No,No,No,No
CUST-00125,62,80.71,5032.35,Month-to-month,DSL,Electronic check,0,No,No,No,No,Yes,No
CUST-00126,41,75.87,3120.59,One year,DSL,Bank transfer,0,Yes,Yes,Yes,Yes,Yes,No
CUST-00127,6,30.23,345.51,Month-to-month,Fiber optic,Credit card,0,Yes,Yes,Yes,No,Yes,No
CUST-00128,56,28.71,1611.39,Two year,DSL,Electronic check,0,No,No,No,No,Yes,No
CUST-00129,42,80.62,3426.27,Month-to-month,No,Bank transfer,0,No,Yes,No,No,Yes,Yes
CUST-00130,46,49.62,2219.36,Month-to-month,Fiber optic,Mailed check,0,No,No,No,Yes,No,Yes
CUST-00131,41,77.55,3117.85,Two year,DSL,Mailed check,0,No,No,No,No,Yes,No
CUST-00132,40,89.52,3627.01,Month-to-month,No,Bank transfer,0,Yes,No,No,No,No,No
CUST-00133,7,38.23,176.41,Month-to-month,Fiber optic,Electronic check,0,Yes,No,No,No,No,Yes
CUST-00134,41,34.71,1456.51,Two year,DSL,Electronic check,0,No,Yes,No,No,Yes,No
CUST-00135,58,111.86,6463.93,Two year,DSL,Electronic check,1,No,No,No,No,No,No
CUST-00136,22,78.79,1794.76,Month-to-month,Fiber optic,Bank transfer,0,No,No,No,Yes,Yes,No
CUST-00137,44,59.52,2423.22,One year,Fiber optic,Credit card,0,No,No,Yes,No,Yes,No
CUST-00138,3,46.65,284.35,Month-to-month,Fiber optic,Mailed check,0,Yes,No,Yes,No,Yes,Yes
CUST-00139,26,57.24,1323.26,Month-to-month,Fiber optic,Bank transfer,0,Yes,No,Yes,Yes,No,Yes
CUST-00140,32,40.24,1466.77,One year,Fiber optic,Credit card,0,No,No,No,No,No,No
CUST-00141,71,92.09,6545.72,Month-to-month,No,Credit card,0,No,No,No,No,Yes,No
CUST-00142,16,50.58,860.71,Month-to-month,Fiber optic,Electronic check,0,Yes,No,No,No,No,Yes
CUST-00143,20,97.34,1942.33,Month-to-month,Fiber optic,Credit card,0,No,No,No,Yes,Yes,Yes
CUST-00144,30,59.98,1807.61,Two year,DSL,Mailed check,0,No,Yes,No,No,No,No
CUST-00145,72,43.92,3066.67,One year,Fiber optic,Credit card,0,Yes,No,No,No,Yes,No
CUST-00146,62,59.34,3741.56,Month-to-month,Fiber optic,Credit card,0,Yes,No,No,No,Yes,Yes
CUST-00147,3,20.0,104.5,Two year,Fiber optic,Electronic check,0,Yes,Yes,No,Yes,Yes,No
CUST-00148,17,66.98,1181.17,Two year,Fiber optic,Credit card,0,Yes,No,No,No,Yes,No
CUST-00149,60,65.75,4094.5,Month-to-month,Fiber optic,Electronic check,0,No,No,No,Yes,Yes,Yes
CUST-00150,5,90.62,313.02,Two year,Fiber optic,Mailed check,1,No,No,No,No,Yes,No
CUST-00151,62,22.84,1424.43,Month-to-month,Fiber optic,Bank transfer,0,Yes,Yes,No,Yes,Yes,Yes
CUST-00152,21,99.05,1931.17,Month-to-month,Fiber optic,Electronic check,0,No,Yes,Yes,No,Yes,Yes
CUST-00153,67,90.51,6181.33,Month-to-month,No,Electronic check,0,Yes,No,No,No,Yes,No
CUST-00154,22,101.3,2301.83,Month-to-month,Fiber optic,Mailed check,0,No,Yes,Yes,Yes,No,Yes
CUST-00155,32,68.68,2174.24,One year,Fiber optic,Bank transfer,0,No,No,No,No,Yes,No
CUST-00156,48,95.35,4665.56,One year,Fiber optic,Bank transfer,0,No,No,No,No,No,No
CUST-00157,10,33.22,382.2,Two year,Fiber optic,Credit card,1,Yes,Yes,Yes,No,Yes,Yes
CUST-00158,41,87.83,3452.38,Month-to-month,Fiber optic,Mailed check,0,No,No,No,No,No,Yes
CUST-00159,37,50.72,1942.37,Month-to-month,No,Bank transfer,1,No,No,No,Yes,No,No
CUST-00160,57,28.71,1551.24,Month-to-month,Fiber optic,Electronic check,0,No,No,Yes,No,No,No
CUST-00161,72,41.9,3032.36,Month-to-month,No,Mailed check,0,No,No,Yes,No,No,No
CUST-00162,48,70.14,3460.69,Two year,Fiber optic,Bank transfer,0,No,No,Yes,No,No,No
CUST-00163,30,49.39,1486.66,One year,No,Mailed check,0,Yes,No,Yes,No,Yes,No
CUST-00164,30,79.4,2375.53,One year,No,Electronic check,0,Yes,No,No,Yes,No,No
CUST-00165,31,24.79,910.77,One year,Fiber optic,Electronic check,1,Yes,Yes,No,Yes,Yes,Yes
CUST-00166,59,20.0,1197.7,Month-to-month,Fiber optic,Credit card,0,No,No,No,No,Yes,No
CUST-00167,24,104.31,2477.66,Month-to-month,Fiber optic,Credit card,0,No,Yes,No,No,Yes,Yes
CUST-00168,13,92.6,1045.52,Month-to-month,Fiber optic,Electronic check,0,No,No,Yes,No,No,Yes
CUST-00169,25,43.77,1096.67,Two year,Fiber optic,Electronic check,0,Yes,No,No,No,Yes,No
CUST-00170,2,69.93,209.77,Month-to-month,Fiber optic,Credit card,1,No,No,No,No,No,Yes
CUST-00171,8,95.49,913.37,Month-to-month,Fiber optic,Electronic check,0,Yes,No,No,No,Yes,Yes
CUST-00172,7,80.48,407.02,One year,DSL,Bank transfer,0,Yes,No,No,No,No,No
CUST-00173,56,73.71,4172.41,Month-to-month,Fiber optic,Mailed check,0,No,Yes,Yes,No,Yes,No
CUST-00174,53,97.38,5229.99,Month-to-month,Fiber optic,Credit card,0,No,No,No,No,No,Yes
CUST-00175,51,51.73,2596.05,Month-to-month,Fiber optic,Bank transfer,0,Yes,No,Yes,No,No,No
CUST-00176,34,70.78,2572.47,Month-to-month,DSL,Credit card,0,No,Yes,No,No,No,No
CUST-00177,52,69.55,3532.95,Month-to-month,DSL,Electronic check,0,No,No,No,Yes,No,Yes
CUST-00178,12,63.18,941.38,Two year,Fiber optic,Electronic check,1,Yes,No,No,Yes,No,Yes
CUST-00179,65,60.25,3930.46,One year,Fiber optic,Credit card,1,No,No,No,No,Yes,No
CUST-00180,37,71.82,2734.46,Month-to-month,DSL,Electronic check,0,Yes,No,No,No,Yes,No
CUST-00181,68,70.86,4777.83,One year,DSL,Mailed check,0,No,No,Yes,No,Yes,No
CUST-00182,11,43.79,328.26,One year,Fiber optic,Electronic check,0,No,No,Yes,No,Yes,Yes
CUST-00183,36,90.04,3231.31,One year,DSL,Electronic check,0,Yes,Yes,No,No,Yes,No
CUST-00184,51,45.59,2389.84,Two year,DSL,Bank transfer,0,Yes,No,No,No,Yes,No
CUST-00185,36,64.54,2269.43,Two year,Fiber optic,Electronic check,0,Yes,No,No,No,Yes,No
CUST-00186,33,62.62,2038.35,Month-to-month,Fiber optic,Electronic check,0,No,Yes,Yes,No,No,Yes
CUST-00187,12,78.95,955.73,Month-to-month,No,Credit card,1,No,No,Yes,No,Yes,No
CUST-00188,28,20.0,408.14,Month-to-month,DSL,Bank transfer,0,No,No,No,No,No,Yes
CUST-00189,18,92.27,1632.5,Month-to-month,DSL,Electronic check,1,Yes,No,No,No,Yes,Yes
CUST-00190,22,53.08,1188.66,Two year,DSL,Credit card,0,No,No,No,Yes,Yes,No
CUST-00191,50,100.5,4971.99,One year,Fiber optic,Credit card,0,No,No,No,No,No,No
CUST-00192,46,58.05,2794.17,Month-to-month,DSL,Mailed check,1,Yes,Yes,No,Yes,No,No
CUST-00193,44,68.78,3048.91,Two year,DSL,Mailed check,0,Yes,No,Yes,No,Yes,No
CUST-00194,27,117.84,2968.56,One year,Fiber optic,Bank transfer,0,Yes,No,No,No,No,No
CUST-00195,70,63.07,4363.51,Month-to-month,Fiber optic,Electronic check,0,Yes,No,No,No,No,No
CUST-00196,7,100.97,637.41,Two year,Fiber optic,Credit card,1,Yes,No,Yes,No,Yes,Yes
CUST-00197,25,70.98,1688.75,Month-to-month,Fiber optic,Electronic check,0,Yes,No,No,No,No,Yes
CUST-00198,9,80.39,877.16,Month-to-month,Fiber optic,Credit card,1,No,Yes,No,Yes,Yes,Yes
CUST-00199,25,71.75,1856.15,Month-to-month,Fiber optic,Bank transfer,0,Yes,Yes,Yes,Yes,Yes,No
CUST-00200,70,91.2,6345.66,Two year,DSL,Electronic check,0,Yes,No,Yes,No,Yes,No
CUST-00201,27,52.86,1380.24,Month-to-month,Fiber optic,Mailed check,0,No,No,No,Yes,Yes,Yes
CUST-00202,66,45.4,2964.52,Month-to-month,DSL,Mailed check,0,No,No,No,Yes,Yes,No
CUST-00203,36,54.04,1886.84,One year,DSL,Credit card,0,Yes,No,No,No,No,Yes
CUST-00204,51,72.49,3627.37,Two year,Fiber optic,Bank transfer,0,No,No,No,Yes,Yes,No
CUST-00205,33,64.48,2178.39,Month-to-month,DSL,Mailed check,0,Yes,No,No,No,No,Yes
CUST-00206,20,87.76,1548.74,Month-to-month,DSL,Mailed check,0,Yes,No,No,No,Yes,Yes
CUST-00207,56,102.62,5798.52,Two year,Fiber optic,Electronic check,0,Yes,No,No,Yes,Yes,No
CUST-00208,70,45.6,3039.78,One year,Fiber optic,Bank transfer,0,Yes,Yes,No,Yes,No,No
CUST-00209,19,51.65,1032.52,Month-to-month,DSL,Bank transfer,0,Yes,No,No,Yes,No,Yes
CUST-00210,57,34.09,2049.96,Month-to-month,Fiber optic,Credit card,0,No,Yes,No,Yes,Yes,No
CUST-00211,19,120.76,2190.27,Month-to-month,No,Bank transfer,0,No,No,No,No,No,Yes
CUST-00212,52,77.62,3962.99,One year,DSL,Mailed check,0,Yes,No,Yes,No,Yes,No
CUST-00213,57,82.0,4771.22,One year,Fiber optic,Mailed check,0,Yes,No,No,No,No,No
CUST-00214,33,36.49,1172.99,One year,DSL,Mailed check,0,Yes,Yes,No,No,No,No
CUST-00215,54,69.97,3700.26,Month-to-month,No,Bank transfer,0,No,Yes,No,Yes,No,No
CUST-00216,20,82.73,1582.21,Two year,DSL,Electronic check,0,No,Yes,Yes,No,Yes,No
CUST-00217,6,63.68,623.74,Month-to-month,DSL,Electronic check,0,Yes,No,Yes,Yes,Yes,Yes
CUST-00218,7,96.89,628.62,Two year,No,Credit card,0,No,No,No,Yes,No,No
CUST-00219,33,127.8,4267.92,Month-to-month,Fiber optic,Electronic check,0,Yes,No,Yes,No,Yes,Yes
CUST-00220,65,46.32,3076.1,Month-to-month,DSL,Electronic check,0,No,Yes,No,Yes,No,No
CUST-00221,10,44.45,600.91,Month-to-month,Fiber optic,Bank transfer,1,Yes,Yes,No,Yes,No,No
CUST-00222,33,48.06,1779.04,Month-to-month,No,Electronic check,0,No,No,No,No,No,Yes
CUST-00223,51,110.15,5429.79,Month-to-month,Fiber optic,Bank transfer,0,No,Yes,Yes,No,Yes,No
CUST-00224,15,96.06,1586.03,One year,DSL,Bank transfer,0,No,No,Yes,No,Yes,Yes
CUST-00225,52,66.61,3477.85,Two year,DSL,Electronic check,0,No,Yes,No,Yes,Yes,No
CUST-00226,23,70.91,1528.29,Month-to-month,No,Mailed check,0,Yes,No,No,Yes,No,Yes
CUST-00227,59,49.59,3023.47,Month-to-month,DSL,Credit card,0,Yes,No,No,Yes,No,Yes
CUST-00228,42,92.25,3784.31,Month-to-month,DSL,Mailed check,0,No,No,No,Yes,Yes,Yes
CUST-00229,40,60.5,2549.54,Two year,DSL,Bank transfer,0,No,No,Yes,No,Yes,No
CUST-00230,13,63.5,787.37,Month-to-month,DSL,Bank transfer,0,No,No,Yes,Yes,No,No
CUST-00231,34,85.22,3005.15,Month-to-month,Fiber optic,Mailed check,0,No,Yes,No,Yes,No,No
CUST-00232,62,65.3,4122.81,Month-to-month,Fiber optic,Bank transfer,0,Yes,Yes,No,No,No,No
CUST-00233,2,64.13,7.47,Month-to-month,DSL,Mailed check,0,No,No,Yes,No,No,No
CUST-00234,55,70.26,3723.59,One year,DSL,Electronic check,0,No,No,No,No,Yes,No
CUST-00235,36,89.88,3252.68,Month-to-month,DSL,Mailed check,1,Yes,No,No,Yes,Yes,No
CUST-00236,52,111.16,5731.84,Month-to-month,DSL,Mailed check,0,Yes,Yes,Yes,Yes,Yes,Yes
CUST-00237,48,84.64,4128.82,Two year,DSL,Credit card,0,Yes,No,No,Yes,Yes,No
CUST-00238,32,90.08,2859.28,Month-to-month,Fiber optic,Bank transfer,0,Yes,No,No,No,Yes,Yes
CUST-00239,23,65.0,1408.26,One year,DSL,Bank transfer,0,No,Yes,No,No,Yes,No
CUST-00240,46,52.31,2440.67,Month-to-month,DSL,Mailed check,0,No,Yes,No,Yes,Yes,No
CUST-00241,11,86.35,742.44,Two year,Fiber optic,Bank transfer,0,No,No,No,No,No,No
CUST-00242,43,74.28,3061.27,One year,Fiber optic,Credit card,0,No,No,No,No,No,No
CUST-00243,7,34.43,137.37,Month-to-month,Fiber optic,Credit card,0,No,Yes,No,Yes,Yes,Yes
CUST-00244,47,61.8,2664.88,Two year,No,Electronic check,0,No,Yes,Yes,No,No,No
CUST-00245,46,67.93,3160.97,Month-to-month,DSL,Mailed check,0,Yes,No,Yes,No,Yes,Yes
CUST-00246,7,57.24,315.21,Month-to-month,DSL,Mailed check,0,Yes,Yes,Yes,No,No,No
CUST-00247,55,107.04,5910.93,One year,DSL,Bank transfer,0,No,No,No,Yes,No,No
CUST-00248,30,82.0,2534.51,One year,DSL,Bank transfer,0,Yes,Yes,No,Yes,Yes,No
CUST-00249,57,104.33,6073.52,Month-to-month,No,Credit card,0,Yes,No,No,No,No,No
CUST-00250,3,76.59,309.56,Month-to-month,Fiber optic,Bank transfer,0,No,Yes,No,No,No,Yes
CUST-00251,13,72.03,776.24,Month-to-month,Fiber optic,Credit card,0,No,Yes,No,No,Yes,No
CUST-00252,36,46.59,1586.79,One year,No,Electronic check,0,Yes,No,No,No,Yes,No
CUST-00253,14,70.3,810.37,Two year,Fiber optic,Electronic check,0,No,Yes,No,No,No,Yes
CUST-00254,24,70.33,1596.08,Month-to-month,Fiber optic,Bank transfer,0,No,No,Yes,No,No,No
CUST-00255,48,35.82,1866.03,Two year,No,Bank transfer,0,No,No,Yes,No,No,No
CUST-00256,11,56.51,651.44,Month-to-month,Fiber optic,Credit card,0,No,No,No,No,Yes,Yes
CUST-00257,49,61.92,3133.46,One year,DSL,Bank transfer,0,Yes,No,No,No,Yes,No
CUST-00258,8,80.34,509.1,Two year,Fiber optic,Mailed check,0,No,Yes,Yes,No,Yes,Yes
CUST-00259,13,81.53,1039.32,One year,No,Bank transfer,0,No,No,Yes,No,No,No
CUST-00260,43,55.47,2444.82,Month-to-month,Fiber optic,Electronic check,0,Yes,Yes,No,Yes,No,No
